reviews,Fine-grained sentiment_score,review_category
"  Camera quality is not best but is good for normal photo shot.Front 2 flash light.7 inch dispalay soo awesome felling, and easy do handing .Battery backup is awesome quality.. 6000mAh..really good response.For normal use that phone is value of money.for parents use.",0.9794,positive
  Firstly it's not working properly and even amazon UPI id not work completly. Below 8000 valu for money is battery and large display..it works the old version of amazon and not updating new version..,0.34,positive
  Good in budget segment.camera is OK.battery give full day backup.support only smooth and normal graphics for pung.some lags when I used after 3 hours.if you are looking for best budget segment you can buy it.it only worst 8500.you don't buy even 1rs extra,0.128,positive
"  Phone is good in this price range but it has a problem that's it's charger is not good to charge the mobile it takes a lot of timeBut it is not a big problem in my opinionPhone is good under 8,000.If you want a big display and big battery then you should be buy it.",0.3565,positive
  Very poor,-0.5256,negative
"  This mobile phone is superb for who don't more money  to buy high quality phone. This is really low budget phone  with superb battery, camera, size,etc features. Really I want suggest this phone to buy user who don't have more money or lack of economic conditions.",0.7024,positive
"  mobile is good in mid range, but seller its mrp 10490 with Bluetooth earpiece but seller don't send bluetooth earpiece. And amazon customer care is helpless. Happy with mobile but disappointed by amazon service. Its a loss of  rs. 799 bcoz amazon unable to resolve my issue.",0.8294,positive
"  Good battery backup , camera quality excellent in daylight. So if  you looking for a low budget ph with some features take it. Ex cept the main problem of this ph is it is big for your hand to carry or in your  litttle pocket. Otherwise it is somoth fast for every thing you need।",0.7184,positive
"  Good for viewing Videos and Multimedia as it has good big Screen and big Battery, other than that don't expect much, you can use daily apps effortlessly, multitasking is good enough, high resolution games total no no..",0.7357,positive
  Sound is low and all others are good in condition. Waiting for other fault if anything.It became fault and not working properly.It sees shivering & jerking while it opening.what  a stupid product.I want to return it for either repair or replace at once,-0.7717,negative
  Tecno spark 6air is a good phone .I purchased it for my younger daughter. +2 student. She likes it very much. Using for her online classes. She is very happy.,0.8908,positive
  I think this good phone below 8000. Screen is awesome. Battery is great. But some issues that ram is only 2 GB . 1 GB ram for inbuilt apps. We only got 1 GB. So I hope they indroduce 3Gb ram phone. 32 GB rom is good. Processor want more improvement. Totally this is good phone,0.9765,positive
"  Fingerprint reader ,battery life is good but camera is not the value of money, but product is very good , please buy this phone, only study purpose, not any other purpose, other purpose please buy Tecno phone 8500 rs , thanks for amazon. ,and delivery boy",0.9421,positive
  Mobile speaker was not upto mark when given to service station damaged charging point this is paid product if within 2 months your mobile mother board is damaged what need to do bad product Amazon don't make fool by selling such bad products,-0.8656,negative
  A big battery phone with big display in a reasonable price. Really a good choice to purchase this mobile.,0.4902,positive
"  Value fr money don't believe negative reviews,u cannot buy iphone for 8000rs",0.6595,positive
  On the box it is mentioned clearly that free bluetooth earpiece but not there,0.4588,positive
  It has high noise issue in background while recording video,0,positive
  Very good.....I like this product very much....this is very useful product to me...OK thanks....good...very well...,0.7947,positive
  Value for money although camera quality is a little poor and memory is low. But definitely the best one in market at this price.,0.8624,positive
  Overall this mobile look and feel is really good. no problem yet. wonderfull product for this price,0.7178,positive
  Techno phones are really nice.happy with my purchase.,0,positive
  Only Screen size and battery life is good.The camera video recording is too noisy and the Images also not up to mark.After purchasing this phone I regret my self.,-0.5423,negative
  Nice product. Camera and battery both very good performance,0.7178,positive
  That's a Great phone don't underestimate it it's a really good in comparison of Oppo real me redimi or else brand.. This will take over all brands.. Use n then see its all task importance... Thanks,0.9271,positive
"  It's amazing meBeautiful mobile but little bit length of 7""Good camera dual flashMammoth battery it's 12+12 hours with 2days using net one chargeFree back coverFree temper classes",-0.3182,negative
  Sound quality of the phone is pathetic. And performance is also lagging to the major level,-0.7003,negative
"  Camera, sound and video quality not good. Thumbs down",-0.3412,negative
"  Mobile is great, 7 inch screen & 6000 MAH battery, thumps up but phone gets thumps down on 2 GB of RAM, believe me very less",0.3716,positive
  Best phone you will ever find. If you found this phone 'CONGRATS'. I would totally suggest you buy this phone.,0.8531,positive
  One of the worst products i have bought..After 2. I will get Off due to Black creen Due to Mother board issue..I really told you that you guys dont buy this product.Infact dont buy tecno product,-0.6249,negative
  Small Amount big battery thanks for Amazon,0.5574,positive
"  Good Budget phone in this price. 6000 battery is meaningless, will works like 4000 MAh only. Photo quality is excellent for this price range. Looks little bulky. Good build quality",0.8326,positive
"  Superb battery,amazing selfie camera, big screen, amazing sound quality.Overall nice performance in a very affordable price.",0.8934,positive
"  Nice ,excellent,economical. Mobile @7999Thanks to Amazon ,Nice service.",0.743,positive
"  The product is average. However, the speaker is not satisfying at all. Tecno should have given a better speaker. A separate one, Such as a back speaker or grilled one.",0.1078,positive
"  Pros:Massive screen, 6000mah battery, 3gb ram, 64 gb storageCons:Speaker is below averageOverall good deal for the price. Not for gamers just to mention here.",0.4404,positive
   super  phone worth for money,0.7003,positive
  Great product awesome battery life and camera performance is far better than in this price range product.,0.9022,positive
"  Camera quality is average not bad not supper , I can't say value for money because I doesn't come with earphone",0.2057,positive
"  Thanks Amazon for delivery of this item. It's superb mobile, after using for a week I must say that this is best mobile in this cost. Thanks again.",0.9413,positive
"  Good mobile in this price Range .👍 But Amazon didn't provide me back cover which was included! Disappointment""... Trying to connect with Amazon but couldn't reach out! At the end of the day I m not happy😔",-0.7525,negative
"  Forgot about camera and performance, rest is just (ok)",0,positive
  Charger has become unserviceable within 15 days of buying....i bought it thinking of pormoting make in india ...but this it what i got...please see reviews before buying..dont take chances.,0.296,positive
  Camera is not that much good... Poor speaker quality.. screen is big but video quality is not good... Battary is good,-0.2528,negative
"  Its quite good n worth of the money good screen, battery n size is the best if buget is under 9000 then go for this but bu screen Guard had air bubbles in the middle of the screen  overall good product",0.8773,positive
  Value for money 💰 owsome phone and bettry life non stop 1day bettry backup ❣️❣️,0.8625,positive
  Finger prints not functioning so the case of face identification too. Now operating through password id only. Rest fine.,0.2023,positive
"  Within 8 days charger issue, hang and hot issue and amz denied for replacement.",-0.4404,negative
  Overall phone is very good the look is also good every feature works except the speakers the speakers are very poor quality. The speakers don't work well. Otherwise it's best for the given price.,0.7258,positive
"  Ok ok phone! for normal use like browsing net , watching videos, checking mails and obviously show off because its large!",0.7568,positive
  Everything in this phone is awesomeBattery is superbScreen is wide and longCamera qualities in this price range is awesome. Overall the phone is brilliant. ❤️👍😘,0.8934,positive
  Overall very good Quality. I like so very much,0.6901,positive
  This product is good but mobile box top side 799 free bluetooth earpiece not received both time replace product.,0.8225,positive
  This is a fantastic phone .. no second thought .. gives a feel of OnePlus,0.34,positive
  Dear Amazon company... product is good.. but data cable is not work.... please replace the data cable... Plz..USB cable replace no charger.. what can I do this cells phone....plz.. work,-0.2831,negative
  Tecno Mobile Worth but Mobile sound  low Increase mobile soundMobile nice,0.6652,positive
  Battery capacity in good screen size best this price range Mobile.,0.7964,positive
"  Nice product, robust",0.6369,positive
  Good but soud not gud,0.2382,positive
  Battery backup superb..camera great for the price...only drawbacks if I need to pick at all are sound quality and bluetooth coverage,0.6249,positive
  This product is not good.. camera quality is too bad. Sound quality is not good Waste of money,-0.7167,negative
  As of now the product is very good .Long life  battery and full screen 7 inch .Far better than a tecno power 2 .,0.7264,positive
  It's a good product in less price but sound quality is very baddd.For multimedia another sound is not available in the phone .Only call speaker is there.,0.2382,positive
  Really superb mobile with all the mentioned features.  Buyed 2 mobiles which is suitable for children's online classes. Good for video sharing having 7inch display.,0.8777,positive
"  Best budget Mobile. Good looking, good Battery life, Fingerprint reader works nicely. Camera quality is also OK. Big in size but not problematic. All in all good.",0.9247,positive
  Thanks amazon for this amazing product this is very useful and pocket friendly...Go fast and grab your amazing product..❤️❤️❤️❤️,0.9371,positive
"  Display is so so, speaker is worst, and its android go version. Chrome is not updating, phone charging problem",-0.7783,negative
  Don't hesitate to buy this phone...It's one of the best smartphone in this price...,0.7196,positive
"  Value for maney, battery life is good, good for online classes or zoom calls, but i will never buy again... It's made in china",0.5574,positive
"  All is good in box Mobile Phone and charger 12+1 warenty,,2gb Ram 32 gb memory android 10,,performance and 7 Inch screen and 6000mah battery is also good.",0.7003,positive
  Supar mobail,0,positive
"  Everything is great, but only one problem is that this smartphone comes with go edition.So Use go applications like Google go,Files go,Photos go and so on....",0.3071,positive
  At this budget this phone is best.There are some lag in this phone,-0.34,negative
  Amazon offers was unbelievable & Tecno Mobile also unbelievable but packaging was very simple.,0.2846,positive
"  Display, battery and camera all are above average.  For the price really worth. Screen size was really mammoth.",0.2944,positive
  I feel it is just like realme c3 that i perchased in 7000 RS. But now in this price it is good than realme c3.,0.6808,positive
  Really it's very nice excellent camera quality very happy to bought this phone,0.9067,positive
  Good,0.4404,positive
  when we unpacked the box there is a free blutooth sticker on the box but in side the box there is no device.kindly send the promised blutooth device.,0.3818,positive
  Overall good phone in  Rs.8500 . Satisfied,0.6908,positive
  This mobile is good but single speaker front side other speaker is not availableThis handset with not airphone availableVideo play quality is not HD,-0.1541,negative
"  Audio quality too worst,finger print sensor more worst and more over face unlock how to talk very very worst ..noone please don't buy this mobile choose another",-0.8177,negative
  Excellent,0.5719,positive
"  All ok sir temper glass 7 inch problem sir and mobile back cover not inside in a box..I searched  temper glass bt I can't found also in network.. 7""Dot Notch screen....",-0.7269,negative
  Good smartphone in this range& budget good looking 6000 mah battery is very bigTank's amazonTank's tecno,0.7003,positive
  All is good super  phone,0.7783,positive
  Very worse and bad product and its bettery is very low qualiry,-0.8608,negative
"  EXCELLENT HANDSET IN THIS PRICE. BIGGEST DISPLAY, POWERFUL BATTERY BACKUP, BEST CAMERAS AND MOST IMPORTANT 13 MONTHS WARRANTY. I LOVE MY 6 AIR !!!!!!!!!!",0.9765,positive
  प्रोसेसर फास्ट नहीं है,0,positive
"  Battery life good, Fingure print also good, But camara quality not good .",-0.0539,negative
  Phone is awesome. Screen size its bit big,0.6249,positive
  Good,0.4404,positive
  Mobile is ok. But its speaker sound is totally erritating.,0,positive
"  Don't expect too much in this price range, but its good smart phone . Go ahead without any tension. its good for normal work and  low end gaming.",0.901,positive
  Phone is good but earphone is missing in the box. In warranty card it is mentioned that the box  contains earphone but it was missing 😣,-0.5647,negative
  Not QuadCore....1.8Ghz Octacore Processer it Have....Tecno Spark 6 Air 3/32 ... 1.8 OCTACORE Processer,0.2263,positive
  Very nice product but you should also buy tempered glass online it is not easily available in market overall good mobile. Best mobile under 8000,0.8791,positive
  Phone is getting overheated with normal usage. Mobile Service gets barred and phone is automatically getting switched off after it became hot.,0,positive
  Their is no back cover and glass protector and Ram will be more then 2g.b. other wise it's value for money product,0.5106,positive
  Best buget phone,0.6369,positive
  Camera quality is not good. Battery is taking so long time to charge.Also Free Bluetooth Earpiece is not in the box.,0.2249,positive
  Recieved the techno 6 air today.. all fine with the product.. but didnot recieve the free bluetooth ear phone.. want to replace the packet.,0.743,positive
  Very good phone battary life is ausome but camera is normal over all very good this price.....thanks amazon I like it ....thank you amazon,0.9431,positive
"  The product is very good. Classy design and easy to handle.Also 7"" display gives you better quality for videos and movies. Camera comes with AI.",0.9036,positive
  Avarage mobile,0,positive
  Excellent phone in budget.....But display is not as good as expected....Battery is perfect,0.7179,positive
"  Camera quality is average,  but looking is very smart",0.611,positive
  Amazing phone every one ☝️ purchase it...,0.5859,positive
  Good,0.4404,positive
  The product is fine,0.2023,positive
  We haven't got earphones on the box it was written that earphones are also in box but they were not it was the worst thing of it 😡🤬,-0.7684,negative
  Good phones,0.4404,positive
  फ़ोन के साथ ईयर फ़ोन फ्री था जो नही मिला?,0,positive
  Main camera is very nice but salfie camera are very poor quality.,-0.5489,negative
  Good product,0.4404,positive
"  WORST MOBILE NEVER BUY, TRIED TO RETURN IT, BUT DO NOT ACCEPT WITH WHATEVER REASON YOU HAVE. SO PLEASE THINK BEFORE BUYING.",-0.0872,negative
  Fantastic product this amount,0.5574,positive
  Very good product i love Amazon,0.8439,positive
  This is really an amazing smart phone is very low budget with having wide range of benefits for users.....Ty tecno and amazon tooo,0.8381,positive
"  poor perfomance, hang some times, too heavy to carry, too large to handle comfortably. camera quality is not as expected.",-0.0772,negative
  In the product box company mentioned about free Bluetooth earpieces but not included in the package and also not provided T & C,0.2846,positive
  The features of this phone are really amazing.. Battery you charge it once and can use whole day and next day as well.,0.7346,positive
  Good battery life. Good for home mobile for all. Children study. A big reading and knowledge device.,0.7003,positive
  Battery life persist for one day.camera quality is good.It is value for money.But audio is not up to the mark.,0.34,positive
  It's battery has long life which is very helpful and it's fingerprint sensor is so fast and it's camera quality is beautiful,0.7902,positive
  After the 15 days charger is not working .,0,positive
  Information about this phone on amazon is processor 2.0GHz is wrong processor is 1.80GHz.,-0.34,negative
  One back cover and temperate glass should be given along with handset it will be better response.,0.4404,positive
  In this device your official Amazon (shopping and bill payment) app not supported,-0.0675,negative
  Nice mobile but battery backup is good because camera in not good but this range mobile is all future good flash is assuming,0.7573,positive
  Carjerger not charging in mobile reples new mobile carjer which day coming charger you not give ya refund,0,positive
"  Actually, I am supposed to get Bluetooth, but there is no bluetooth inside ..!So .. pls look into itThank you",-0.3903,negative
  Charger is not working. Send me service centre in ahmedabad city.,0,positive
  Amazon upi not working. Battery bad,0.5499,positive
  Everything is really good in this product. I'm not mention in detail...really satisfied and i hope others felt the same.,0.8357,positive
  I love this phone very much . Charger is nice. CAMERA is also nice . Battery is very good . I love this phone.,0.9531,positive
  I don't like this product & charger is not condemned in 2 Days. Service havn't found till now,0.0762,positive
  Amazing product in this price,0.5859,positive
  Camera is not good or phone size very big as not except,-0.3412,negative
"  Good product & the camera quality  decent,  the battery performance very good & the screen size also big ...",0.7264,positive
"  Product is good compare to price.It is smooth.But bluetooth headset not available, disappointed.",0.6656,positive
  its sensor is so slow... sometime its display light gets off while we connect any phone calls and creates trouble...,-0.1531,negative
  goog phone,0,positive
  Value for money,0.34,positive
"  Great smart phone for this price rangeFinger print -fastBig 7"" Display  😍Rear camera good",0.9136,positive
  I did'nt receive free bluetooth earphones as mentioned on the box. Please find the attachment above for reference.,0.7783,positive
  Good,0.4404,positive
"  Phone looking good,Camery quality low and bettery beckup good. This price never you upset after buy this product.",0.4559,positive
  Good budget mobile with more features,0.4404,positive
  This phone is ok under 8k but camera and sound quality is not up to mark.  Rest is ok,0.5267,positive
  Good product special betteri life excellent.  Good phone 👍👍👍,0.9042,positive
  I have no back cover I have other tecnospark 6 air moble booked today delivered mobile+back cover plz send back cover,-0.2263,negative
"  Under 8k big screen & big battery,but disappointed with camera quality & it hasn't a speaker..so sad!!",-0.2801,negative
"  Life spam of this phone is very small ,and you can't expect to work good after warranty period is over.",0.1027,positive
  Speaker sound quality is very poor. The speaker sound is very low according to samsung phone,-0.699,negative
  One of the best phone.. I have ever used,0.6369,positive
  Phone is good but speaker not interested big battery big screen ok ok phone price list 8500,0.5666,positive
  this product is good.But i am not receive free blutooth say as this package  . pl take action imidate,-0.4023,negative
  Superb,0.6249,positive
  Very good phone but I will play free fire I will join custum that was saying I am playing in pc,0.8897,positive
  average product..,0,positive
"  Mobile is awesome and colour is too good,Value for moneyThank you so much amazon for early deliver",0.7251,positive
  Poor display and sound.,-0.4767,negative
  Excellent smartphoneBuild qualityCamera is very goodIn hand feel very goodSo awesome,0.911,positive
  This phone is good.but service is vary bad charging data cable  is very bad. There life is One month .,-0.807,negative
  GOOD PHONE,0.4404,positive
  Looking so osam all features are good battery backup is very good nice product in low range ☺️☺️👌👌,0.9759,positive
  Best phone under 8kNot for dedicated gamers.Free fire and lite pubg play can be done,0.802,positive
  really nice product and very dast delivery of amazon.its came in 13 hour to me 😍😍❤️ thanks amazon,0.9134,positive
  So nice,0.4754,positive
  Phone ring not coming when incoming calls.only vibration vibrates. How to rectify,0,positive
  Just after 1 month of use phone charger is not working and battery is also not giving good backup,-0.5334,negative
  Wow super stylish and look like royal productI highly impress the product techno spark6 air,0.9245,positive
  Headphones are missed in this product a part from that mobile is valuable for reasonable price 👌,0.7925,positive
  For 8000 rupees there are better options than this one. The loud speaker is so pethetic in this.,0.4404,positive
  One star deducted for not giving bluetooth earphone that is clearly mentioned on the box........,0.169,positive
  This is good mobile for this range I like the new features and camera but headphones are not provided,0.4019,positive
"  Battery life, value for money, thickness also very nice",0.6697,positive
  Very very bad speaker phone waste don’t buy this phone and important information no refundable,-0.8059,negative
  Product quality and features is good but the Bluetooth earphones  offer commitment is false ..,0.6542,positive
  Good phone ..but cover  is not avilable anywere in the world ...Plz add cover on your site plz,0.431,positive
  Its good for its size of the display and many other feature,0.4404,positive
  Great phone. No need to charge daily bcoz of big battery. Screen glass is available now on Amazon.,0.5574,positive
  Thanks to amazon to accept my return as it has low volume..thanks for the amazon reliable service,0.7003,positive
  Camera so nice but quality normal and battery life 2dyas but quality normal and phone nice,0.6953,positive
  Mobil  very good,0.4927,positive
  Best Feature and Camera Phone under this Price Review After 2 Month Uses.,0.6369,positive
  Free bluetooth earpiece worth Rs. 799 written on the box . Where is my free gift?,0.886,positive
  On the box  written free Bluetooth headset but I not found Bluetooth headset in the box.,0.2846,positive
  Free Bluetooth earpiece not received in the pack.,0.5106,positive
  Nice phone. good battery life so i bot the phone. It is worth the price,0.765,positive
  Initial Impressions is very Good... Value for Money...,0.7764,positive
  Mobile phone camera quality super,0.5994,positive
"  As mentioned on box about free bluetooth earpiece,  didnt get that piece.  Where it is?",0.5106,positive
  यह आइटम बहुत अच्छा है लेकिन इस आइटम का मोबाइल चार्जर अच्छा नहीं हैSiksdkahajdlgsk,0,positive
  Worst mobile,-0.6249,negative
  Not good,-0.3412,negative
  Very nice product battery power is very istrog phone look is nice bat camera decimal bat nice,0.8268,positive
  Screen broken within 20 days. No response from service center.,-0.6486,negative
  sound quality worst,-0.6249,negative
  display not good,-0.3412,negative
  Front camera 📸 very good,0.4927,positive
"  Value for money nise phone looking, provided screen stiker ,back cover also",0.34,positive
  Free bluetooth mentioned over the mobile packet but not available in the box.,0.2846,positive
  Speeker sound very low  then Face lock is not working,-0.3384,negative
  Very poor quality mobile was very bestMobile performance very bad hang all time,-0.8012,negative
"  It is best phone at lower budjet but there is no protection for phone (screen gaurd, pouch)",-0.2023,negative
  First order and facing charging issue.Why not quality test  before selling this item.,0,positive
  Very good,0.4927,positive
  Phone is very good for that money. and camera is almost good. System is very good,0.8399,positive
  Very nice good phone,0.7408,positive
  Bettery backup  osame  good product  full value of my money.  I love this  phone,0.8591,positive
  Super mobileLow prie,0.5994,positive
  Two problems 1speaker quality and low brightnessRest everything is good,-0.2263,negative
  This model is world wakwas mobile phone sound features is not available,0,positive
  Very useful mobile,0.4927,positive
"  I bought this mobile from Amazon, but I'm not able to use Amazon UPI on this mobile.",0.34,positive
  Worth tha price it's awesome buy this phone and everything is in your hand.,0.8481,positive
  Product is good but sound quality speaker is bit low,-0.1779,negative
  Battery backup is good and camera quality is good,0.7003,positive
  Main problem is..it's not working in whatsapp videocallU can't do videocall,-0.4019,negative
  Worth the price. Wat abt sales and service?,0.2263,positive
  Head phone not received...Pls reply,0,positive
  This phone is so good at this price but the speaker of this phone is not so good,-0.3964,negative
  Battery very fast reduce when net use slow proccer not recommended,-0.1511,negative
"  Camera and speakers is in very low quality, rest of everything is awesome.",0.4033,positive
"  Don't you dare to buy, you will regret it.",-0.4215,negative
  Good product,0.4404,positive
  Super mobile,0.5994,positive
  Finger print,0,positive
  Slow running mobile,0,positive
"  Sound quality very poor, otherwise very good phone at this price",-0.0516,negative
  Its charger showing problem.where to complain or how to fix it.,-0.3612,negative
  प्रोडक्ट अच्छा है पर इसमें ब्लूटूथ 699 रुपये का फ्री था व नही मिला है ।,0,positive
  Best Budget Phone,0.6369,positive
  Charger is not charging. Charger is defective.,-0.4404,negative
  Free bluetooth was not received ..I want to receive my Bluetooth,0.4728,positive
  nice but  back case cover not avilable,0.2263,positive
  Very good mobile in this price,0.4927,positive
"  No.1 for online studies  really great ,big screen and battery",0.659,positive
  Nice phone in budget,0.4215,positive
  Bluetooth headphone showing on free but not received,0.2846,positive
   Camera quality not good,-0.3412,negative
"  Every rupee justified,good product at low cost",-0.2732,negative
"  Very poor quality for speaker, display and camera.",-0.5256,negative
"  Charger is dead,not working,second shortage in purchasing.",-0.25,negative
  Very happy with the product...,0.6115,positive
  Everything is very good but camara and display quality is so poor.,-0.6587,negative
  Single speaker is not good at all.,-0.3412,negative
  Vary good battery,0.4404,positive
  Good but product had Bluetooth earpiece free but I didn't get it,0.7506,positive
  Sound Quality very BAD and Heat problem.,-0.8034,negative
  Nice budget phone at this price.,0.4215,positive
  Best price and performance also good,0.7964,positive
  It's not up to the mark.But light user can buy.,0,positive
  Slow working phone and relipay application not open,0,positive
  No fast charging supported this is one mistake for this phone,-0.3182,negative
  Very nice product but baitary heavy so good but charger normal,0.7997,positive
  4k not Play in This Phone.its not a hd+ display.Phone will be Heat,-0.2584,negative
  Phone not working and no features available hanging problem,-0.2052,negative
  Product is amazing...but free gift are not provided... 😕😕,0.7061,positive
  Battery backup good,0.4404,positive
  Smart look phone and super 👌 osm and good price and good product,0.9554,positive
  Good,0.4404,positive
  Good,0.4404,positive
  I didn't get my free earpiece with my techno spark 6 air.,-0.2028,negative
  Very nice product,0.4754,positive
  Good quality. Best for watching movies.,0.7964,positive
  Backcase/cover and temper glass still not available anywhere.,-0.4215,negative
  1 star minus for No free earphone.although Good Device.,0.0511,positive
  Camera very poor compare to other 13 mega pixel camera,-0.5256,negative
  Free Bluetooth earphone missing,0.2732,positive
  Very nice,0.4754,positive
  फोन के सभी फीचर्स शानदार है(Make in India),0,positive
  Battery backup is no good but camera quality is best..,0.7267,positive
  Camera and battery backup is very poor,-0.5256,negative
  Volume is too low as compared to other smartphones,-0.2732,negative
  Camera quality day time OK But night time very bad,-0.6397,negative
  I love Amazon..🥰🥰,0.9661,positive
  Battery heated soon on charging and in running stage,0,positive
  Speecar not properly respond,0,positive
  ALL is good but Safty over is not available in with phone,0.2382,positive
  Why this phone is not supporting whatsApp video call??,-0.4149,negative
  Excellent battery backup,0.5719,positive
  Outstanding,0.6124,positive
  I like this phone but when I charging it it get hot,0.1901,positive
  Not to the mark of expectation.....very slow device,0,positive
  Excellent product by Amazon,0.6597,positive
  I recommend Amazon shopping good product,0.7269,positive
  good,0.4404,positive
  Big screen,0,positive
  Battery very very goodCamera average,0,positive
  Good mobile at all but it's speaker quality is low,-0.1779,negative
  Nice product &new for me,0.4215,positive
  Good best better,0.875,positive
  Front camera picture uality isn't perfect,-0.4585,negative
  Not like due to not charging adapter sanded to me,-0.2755,negative
  Camera is not Soo good yet base on price it is gg,-0.0531,negative
  Amazon pay not working properly in this device...,0.0772,positive
  How get service.... not get sound,0,positive
"  This is really nice phone, super,",0.8051,positive
  Good product,0.4404,positive
  Its camera quality is too poor and zooming is tearable,-0.4767,negative
  Charger heating problem during charging.,-0.4019,negative
  वेरी वेरी नाइस फोन एंड लुकिंग वेरी फंटास्टिक लुक,0,positive
  Mobile is good but dont purchase online prudct,0.2382,positive
"  Awesome product, value of money",0.7579,positive
  Nice phone ni complaint,0.1531,positive
  Charger too heat.,0,positive
  great config in low price,0.4588,positive
  Missing Bluetooth  in unboxing in this product,-0.296,negative
  Bettry and fingerprint sensor almost very fast,0,positive
  Its ok,0.296,positive
  Battery life I like it,0.3612,positive
  Best phone under 8k with awesome battery and camera,0.8519,positive
  Very nice product....Great delivery by Amazon,0.5849,positive
"  Very quick delivery,love this mobile under 8k",0,positive
  Low Sound quality . Front camera isn't good.,-0.5432,negative
  Really nyc android mobile under 9000 mind blowing,0,positive
   Nice,0.4215,positive
   Good,0.4404,positive
  Best phone under 9k,0.6369,positive
  Everything is good.,0.4404,positive
  Big bright displayBig blast in ₹8499,0.4404,positive
  Osm,0,positive
  Nice mobile in 8kBut back cover not given,0.4215,positive
  except speakers. other features are good.,0.4404,positive
  Chargar pin or chargar Kam nahi karta he.,0,positive
  should work on camera... rest all is good,0.4404,positive
  Good battery life and fingerprint reader.,0.4404,positive
  Less storage but good price..camera good,0.8076,positive
  Overall value for money,0.34,positive
  Brightness is nice good,0.8074,positive
  Display too bad,-0.5423,negative
  Product is good but Very late delivery,0.2382,positive
  Awesome product price range and good quality,0.7906,positive
  Ram is not available in 4gb  it's bad,-0.5423,negative
  I BUY THIS PHONE AND THIS IS AWESOME!,0.6588,positive
  Worst camera and display....waste of money,-0.6249,negative
  It is nice product for gaming but come lag,-0.296,negative
  Nice and average product but made in india,0.2263,positive
  Battery backup  is very poor quality,-0.5256,negative
  Mic and sound quality is very worse.,-0.5256,negative
  Best phone in market,0.6369,positive
"  Superb mobile,camera quality is also good",0.7906,positive
  Best phone under 9k,0.6369,positive
  Free bluetooth earpiece not in box,0.5106,positive
  It's not upto expectations,0,positive
  Camera 📷 not good,-0.3412,negative
  Super...,0.5994,positive
  Good phone,0.4404,positive
  Camera quality is not too good,-0.3412,negative
  Value for maney,0.34,positive
  All over good but charge problem,-0.3818,negative
  Very bad product,-0.5849,negative
  It's system already used 1.4gb storage,0,positive
  Battery capacity can use for two days,0,positive
  Super phone in this budget...,0.5994,positive
  Best price rangeMoney....,0.6369,positive
  Super delivery good product....,0.7783,positive
  Best phone with 6000 battery 🔋,0.6369,positive
  Good phone price battery life is best,0.7964,positive
  awesome product,0.6249,positive
  so nice phone,0.4754,positive
  Sound And Camera Quality is not good,-0.3412,negative
  Very successful mobile,0.624,positive
  Good,0.4404,positive
  We are happy with the product,0.5719,positive
  Phone is good,0.4404,positive
  Best value of money phone.,0.765,positive
  Value for money 💰 product..,0.34,positive
  good qvality,0.4404,positive
  Goid,0,positive
  Good,0.4404,positive
  Good,0.4404,positive
  Velue of mony is west smart phone,0.4019,positive
  Bluetooth earpice  not come,0,positive
  Camera quality good,0.4404,positive
  Awesome mobile,0.6249,positive
  Goodnight techno beautiful,0.5994,positive
  Value for money 💰,0.34,positive
  Super phone for that rate,0.5994,positive
  Very nice product,0.4754,positive
  Very good,0.4927,positive
  NOT FOR VALUE FOR MONEY,-0.2584,negative
  Speaker volume is not good,-0.3412,negative
  Phone is very good,0.4927,positive
  Nice mobile your so look,0.4215,positive
  Very big and bulky phone,0,positive
  just osm product,0,positive
  Camera clearly not good,0.0757,positive
  Best phone under budget,0.6369,positive
  Value for money,0.34,positive
  Camera not clear for,-0.2924,negative
  Super mobile,0.5994,positive
  Camera features Not ok,-0.2235,negative
  Charging lasts all day,0,positive
  worst product dont buy,-0.6249,negative
  Picture quality is not Good,-0.3412,negative
  Batty back up problem,-0.4019,negative
  Battery and charger hitting,0,positive
  Powerfull 6000 mah battery,0,positive
  One of the best under 8000,0.6369,positive
  NICE PHONE. VALUE FOR MONEY,0.6369,positive
  Notbad,0,positive
  Good product in this price,0.4404,positive
  Good,0.4404,positive
  Good,0.4404,positive
  Nice,0.4215,positive
  Keyboard not proper,0,positive
  Mising air blutooth,0,positive
